FPR,TPR
0.00 ,0.00 
0.01 ,0.05 
0.02 ,0.10 
0.03 ,0.15 
0.04 ,0.19 
0.05 ,0.24 
0.06 ,0.29 
0.07 ,0.34 
0.08 ,0.39 
0.09 ,0.44 
0.10 ,0.49 
0.11 ,0.53 
0.12 ,0.58 
0.13 ,0.63 
0.14 ,0.67 
0.15 ,0.70 
0.16 ,0.72 
0.17 ,0.73 
0.18 ,0.73 
0.19 ,0.73 
0.20 ,0.74 
0.21 ,0.74 
0.22 ,0.74 
0.23 ,0.75 
0.24 ,0.75 
0.25 ,0.75 
0.26 ,0.76 
0.27 ,0.76 
0.28 ,0.76 
0.29 ,0.77 
0.30 ,0.77 
0.31 ,0.77 
0.32 ,0.78 
0.33 ,0.78 
0.34 ,0.78 
0.35 ,0.79 
0.36 ,0.79 
0.37 ,0.79 
0.38 ,0.80 
0.39 ,0.80 
0.40 ,0.80 
0.41 ,0.81 
0.42 ,0.81 
0.43 ,0.81 
0.44 ,0.82 
0.46 ,0.82 
0.47 ,0.82 
0.48 ,0.83 
0.49 ,0.83 
0.50 ,0.83 
0.51 ,0.84 
0.52 ,0.84 
0.53 ,0.84 
0.54 ,0.85 
0.55 ,0.85 
0.56 ,0.85 
0.57 ,0.86 
0.58 ,0.86 
0.59 ,0.86 
0.60 ,0.87 
0.61 ,0.87 
0.62 ,0.87 
0.63 ,0.88 
0.64 ,0.88 
0.65 ,0.88 
0.66 ,0.89 
0.67 ,0.89 
0.68 ,0.89 
0.69 ,0.90 
0.70 ,0.90 
0.71 ,0.90 
0.72 ,0.91 
0.73 ,0.91 
0.74 ,0.91 
0.75 ,0.92 
0.76 ,0.92 
0.77 ,0.92 
0.78 ,0.93 
0.79 ,0.93 
0.80 ,0.93 
0.81 ,0.94 
0.82 ,0.94 
0.83 ,0.94 
0.84 ,0.95 
0.85 ,0.95 
0.86 ,0.95 
0.87 ,0.96 
0.88 ,0.96 
0.89 ,0.96 
0.90 ,0.97 
0.91 ,0.97 
0.92 ,0.97 
0.93 ,0.98 
0.94 ,0.98 
0.95 ,0.98 
0.96 ,0.99 
0.97 ,0.99 
0.98 ,0.99 
0.99 ,1.00 
1.00 ,1.00 
