FPR,TPR
0,0
0.000571429,0.007423687
0.000571429,0.013136345
0.000571429,0.018277574
0.001714286,0.019990232
0.001714286,0.022845747
0.001714286,0.025701262
0.002857143,0.029128205
0.004,0.043412291
0.004571429,0.053696378
0.005714286,0.061123321
0.005714286,0.07026455
0.005714286,0.078258038
0.006285714,0.080542125
0.006285714,0.087387871
0.006857143,0.091386243
0.007428571,0.097098901
0.008,0.10224013
0.008569801,0.107382987
0.009139601,0.114811559
0.009139601,0.120524217
0.009709402,0.122809931
0.009709402,0.126808303
0.01028083,0.129092389
0.011995116,0.135368335
0.011995116,0.138795279
0.013709402,0.141079365
0.01428083,0.146782255
0.014852259,0.151352055
0.015995116,0.157064713
0.016564917,0.16220757
0.017707774,0.166205942
0.018850631,0.169061457
0.019422059,0.171915344
0.019422059,0.174770859
0.020564917,0.177054945
0.020564917,0.182765975
0.020564917,0.18562149
0.021136345,0.194761091
0.021136345,0.197616606
0.021136345,0.202757835
0.022850631,0.206178266
0.024564917,0.207890924
0.025707774,0.210173382
0.025707774,0.213598698
0.025707774,0.218739927
0.025707774,0.223881156
0.026850631,0.225593814
0.026850631,0.2318779
0.027422059,0.237019129
0.028564917,0.238731787
0.029706146,0.242160358
0.030277574,0.245014245
0.03199186,0.250144078
0.03199186,0.252999593
0.032563289,0.255283679
0.034277574,0.256424908
0.035420431,0.259851852
0.037133089,0.260994709
0.038274318,0.262708995
0.038845747,0.264993081
0.039986976,0.266707367
0.039986976,0.271277167
0.041129833,0.273561254
0.041701262,0.27584534
0.04227269,0.279272283
0.042844119,0.283265771
0.043986976,0.284978429
0.045129833,0.286691087
0.045701262,0.289544974
0.045701262,0.295824176
0.045701262,0.299251119
0.04627269,0.30382092
0.046844119,0.306105006
0.047986976,0.308960521
0.049128205,0.310674807
0.050269434,0.31353195
0.052555149,0.31410175
0.052555149,0.316957265
0.053126577,0.319241351
0.053698006,0.321525438
0.054269434,0.324952381
0.055410663,0.326666667
0.056553521,0.328379324
0.056553521,0.331234839
0.05769475,0.334091982
0.05769475,0.336947497
0.058266178,0.339231583
0.058837607,0.34151567
0.059409035,0.343799756
0.060550265,0.345514042
0.061691494,0.347228327
0.063405779,0.348369556
0.065118437,0.349512414
0.066261294,0.351225071
0.066832723,0.353509158
0.067404151,0.355793244
0.068545381,0.358650387
0.069116809,0.360934473
0.070829467,0.36207733
0.072542125,0.363220187
0.073113553,0.365504274
0.073683354,0.367789988
0.073683354,0.370645503
0.074254782,0.374070818
0.074826211,0.376354904
0.075396011,0.378640619
0.077108669,0.379783476
0.079394383,0.382638991
0.081107041,0.384353276
0.08167847,0.38778022
0.08167847,0.390635735
0.082819699,0.392921449
0.084532357,0.394064306
0.085673586,0.396921449
0.086816443,0.399203907
0.086816443,0.402059422
0.087387871,0.404343508
0.089100529,0.405486365
0.089671958,0.407770452
0.091956044,0.408913309
0.093097273,0.410627595
0.093668702,0.412911681
0.096524217,0.412911681
0.097095645,0.416910053
0.098236874,0.418624339
0.098808303,0.420908425
0.09995116,0.422621083
0.101094017,0.42433374
0.102235246,0.426048026
0.103949532,0.427189255
0.10566219,0.428332112
0.107374847,0.429474969
0.108516077,0.431189255
0.110230362,0.432901913
0.113085877,0.433473341
0.115369963,0.43404477
0.11765405,0.434616199
0.118795279,0.436901913
0.119936508,0.438616199
0.122222222,0.439185999
0.123365079,0.443184371
0.124507937,0.444897029
0.126220594,0.446039886
0.127363451,0.448323972
0.128504681,0.450609687
0.129647538,0.452322344
0.130788767,0.45403663
0.133072853,0.455750916
0.135356939,0.456322344
0.137071225,0.457463573
0.137642654,0.45974766
0.139355311,0.461461945
0.13992674,0.463746032
0.14163777,0.465460317
0.143923484,0.466030118
0.145636142,0.467172975
0.146205942,0.469458689
0.146777371,0.471742776
0.147348799,0.474026862
0.148491656,0.47573952
0.148491656,0.478595035
0.149063085,0.480879121
0.149634514,0.483163207
0.149634514,0.486018722
0.151348799,0.487159951
0.151348799,0.490015466
0.151348799,0.492870981
0.153063085,0.49401221
0.155347171,0.495155067
0.158204314,0.496296296
0.160490028,0.497437525
0.162775743,0.498578755
0.164490028,0.499719984
0.165061457,0.50200407
0.165632886,0.504288156
0.166774115,0.506002442
0.167915344,0.507716728
0.169628002,0.508859585
0.170769231,0.510573871
0.172483516,0.512286528
0.173624746,0.514000814
0.174767603,0.515713472
0.176481888,0.516854701
0.178765975,0.517426129
0.180478632,0.518568987
0.182192918,0.521419617
0.183335775,0.523132275
0.185048433,0.524275132
0.18619129,0.527130647
0.187334147,0.528843305
0.189046805,0.531125763
0.190189662,0.532838421
0.191332519,0.534551079
0.193046805,0.535692308
0.195330891,0.536263736
0.197614978,0.537406593
0.199327635,0.538549451
0.201040293,0.539692308
0.202752951,0.541974766
0.20389418,0.543689052
0.205037037,0.545401709
0.205608466,0.547685796
0.206179894,0.549969882
0.207321123,0.551684168
0.20960521,0.552255596
0.210176638,0.554539683
0.212460724,0.555111111
0.214173382,0.556253968
0.214173382,0.559109483
0.215884412,0.560823769
0.21759707,0.562536427
0.21759707,0.565391941
0.218739927,0.568818885
0.219882784,0.570531543
0.22159707,0.571672772
0.222738299,0.573387057
0.224452584,0.574528287
0.225595442,0.576240944
0.226738299,0.578525031
0.227881156,0.580237688
0.230165242,0.580809117
0.232449328,0.581380545
0.234163614,0.582521775
0.234163614,0.585948718
0.235306471,0.587661376
0.237590558,0.588804233
0.238733415,0.590516891
0.240446072,0.591659748
0.242730159,0.592231176
0.244442816,0.593374033
0.245584046,0.595088319
0.246726903,0.596800977
0.247298331,0.599085063
0.248441188,0.601369149
0.250155474,0.602510379
0.250726903,0.604794465
0.252441188,0.605935694
0.252441188,0.608791209
0.254725275,0.609362637
0.257009361,0.609934066
0.257579162,0.61221978
0.258720391,0.613934066
0.260434676,0.615075295
0.260434676,0.618502239
0.262148962,0.619643468
0.263291819,0.621356125
0.265004477,0.622498982
0.265575906,0.624783069
0.267288563,0.625925926
0.269001221,0.627068783
0.270713879,0.62821164
0.272997965,0.628783069
0.274139194,0.630497354
0.275282051,0.632210012
0.27585348,0.634494098
0.276424908,0.636778185
0.278137566,0.637921042
0.279850224,0.639063899
0.281562882,0.640206756
0.282705739,0.641919414
0.283846968,0.6436337
0.284988197,0.645347985
0.286700855,0.646490842
0.287843712,0.6482035
0.28955637,0.649346357
0.290699227,0.651059015
0.292983313,0.652201872
0.294124542,0.653916158
0.295267399,0.655628816
0.295838828,0.657912902
0.296981685,0.65962556
0.298124542,0.661338217
0.300408628,0.662481074
0.302692715,0.663052503
0.303835572,0.664765161
0.305549858,0.66590639
0.307264143,0.667047619
0.308978429,0.668188848
0.308978429,0.671044363
0.310692715,0.672185592
0.312403744,0.673899878
0.313546602,0.675612536
0.315830688,0.676753765
0.317543346,0.677896622
0.319257631,0.680752137
0.321541718,0.681893366
0.323254375,0.683607652
0.325536834,0.68645991
0.327249491,0.688742369
0.32839072,0.690456654
0.32953195,0.69217094
0.33010175,0.694456654
0.331244607,0.696169312
0.331816036,0.699024827
0.332958893,0.700737485
0.335242979,0.701308913
0.337528694,0.701878714
0.338671551,0.703591372
0.33981278,0.705305657
0.340384208,0.707589744
0.342668295,0.708732601
0.34438258,0.711016687
0.344952381,0.713302401
0.346095238,0.715015059
0.346095238,0.717870574
0.347807896,0.719013431
0.348950753,0.720726089
0.349522182,0.723010175
0.352947497,0.724153032
0.354660155,0.725295889
0.356372812,0.726438746
0.358656899,0.727010175
0.359798128,0.728724461
0.360369556,0.731008547
0.360940985,0.733292633
0.361512414,0.73557672
0.362082214,0.737862434
0.362082214,0.740717949
0.363794872,0.741860806
0.365509158,0.743002035
0.367221815,0.744144892
0.368364672,0.74585755
0.371220187,0.74585755
0.372932845,0.747000407
0.375216931,0.747571836
0.37578836,0.749855922
0.378072446,0.75042735
0.379785104,0.751570208
0.382640619,0.751570208
0.384353276,0.752713065
0.385496133,0.754425722
0.386637363,0.756140008
0.388351648,0.757281237
0.391207163,0.757852666
0.392919821,0.760709809
0.394062678,0.762422466
0.395205535,0.764135124
0.396348392,0.765847782
0.398062678,0.766989011
0.399203907,0.768703297
0.401489621,0.769273097
0.403773708,0.769844526
0.404916565,0.771557184
0.405487993,0.77384127
0.40777208,0.774412698
0.409484737,0.775555556
0.411197395,0.776698413
0.412910053,0.778412698
0.415194139,0.778984127
0.417479853,0.780696785
0.41976394,0.781268213
0.420905169,0.782982499
0.423189255,0.783553928
0.424901913,0.785268213
0.427187627,0.785838014
0.429471713,0.786409442
0.431184371,0.7875523
0.434039886,0.7875523
0.436323972,0.788123728
0.439179487,0.789266585
0.441465201,0.789836386
0.443749288,0.790407814
0.447176231,0.790979243
0.449460317,0.7921221
0.453458689,0.793836386
0.456314204,0.794407814
0.458026862,0.795550672
0.460879121,0.796693529
0.462591779,0.797836386
0.465445665,0.798407814
0.46830118,0.799550672
0.469444037,0.80183313
0.471156695,0.804690273
0.473440781,0.805261701
0.476867725,0.80640293
0.477437525,0.809260073
0.479721612,0.810401302
0.481435897,0.811542532
0.484291412,0.812112332
0.48600407,0.813255189
0.488288156,0.814969475
0.493429385,0.816682133
0.497427757,0.818396418
0.499140415,0.819539276
0.500853073,0.82182499
0.502565731,0.822967847
0.504849817,0.824682133
0.50827676,0.826396418
0.512846561,0.826967847
0.516275132,0.828109076
0.517989418,0.829821734
0.522559219,0.83153602
0.526559219,0.832677249
0.529414733,0.833248677
0.530555963,0.835534392
0.532270248,0.836675621
0.533411477,0.838389906
0.535695564,0.839532764
0.537408221,0.841245421
0.539692308,0.84181685
0.540262108,0.844102564
0.541404965,0.845815222
0.541976394,0.848099308
0.542547823,0.850383394
0.544262108,0.851524624
0.547117623,0.851524624
0.54826048,0.853237281
0.549403337,0.854949939
0.551115995,0.856092796
0.552258852,0.858376882
0.553973138,0.859518112
0.557401709,0.860087912
0.560257224,0.860659341
0.561398453,0.862373626
0.563111111,0.863516484
0.56368254,0.86580057
0.565396825,0.866941799
0.56825234,0.866941799
0.570536427,0.867513228
0.572250712,0.868654457
0.574534799,0.869225885
0.576818885,0.869797314
0.579102971,0.870368742
0.580815629,0.8715116
0.581387057,0.873795686
0.583672772,0.874365486
0.586528287,0.874365486
0.588812373,0.874936915
0.590526659,0.876078144
0.592240944,0.877219373
0.594526659,0.877789174
0.596240944,0.878930403
0.598525031,0.879501832
0.600239316,0.880643061
0.602523403,0.881214489
0.60423606,0.882357346
0.605950346,0.883498575
0.608234432,0.884070004
0.611089947,0.884070004
0.613945462,0.884070004
0.615659748,0.885211233
0.617372405,0.886923891
0.620229548,0.88806512
0.621943834,0.889206349
0.62422792,0.890349206
0.625942206,0.891490435
0.627656492,0.893203093
0.628799349,0.895487179
0.631085063,0.89605698
0.633369149,0.897199837
0.636794465,0.897199837
0.63964998,0.897199837
0.643076923,0.897199837
0.645361009,0.897771266
0.647645096,0.898342694
0.651643468,0.898342694
0.653927554,0.898914123
0.661927554,0.909769638
0.66421164,0.910341066
0.666495726,0.911482295
0.668779813,0.912625153
0.676206756,0.921196581
