FPR,TPR
0.00E+00,0.00E+00
1.01E-02,1.27E-01
2.02E-02,1.73E-01
3.03E-02,2.16E-01
4.04E-02,2.59E-01
5.05E-02,3.03E-01
6.06E-02,3.46E-01
7.07E-02,3.89E-01
8.08E-02,4.32E-01
9.09E-02,4.76E-01
1.01E-01,5.19E-01
1.11E-01,5.62E-01
1.21E-01,6.02E-01
1.31E-01,6.34E-01
1.41E-01,6.51E-01
1.52E-01,6.63E-01
1.62E-01,6.71E-01
1.72E-01,6.75E-01
1.82E-01,6.80E-01
1.92E-01,6.84E-01
2.02E-01,6.88E-01
2.12E-01,6.92E-01
2.22E-01,6.96E-01
2.32E-01,7.00E-01
2.42E-01,7.04E-01
2.53E-01,7.08E-01
2.63E-01,7.12E-01
2.73E-01,7.16E-01
2.83E-01,7.20E-01
2.93E-01,7.24E-01
3.03E-01,7.28E-01
3.13E-01,7.32E-01
3.23E-01,7.36E-01
3.33E-01,7.40E-01
3.43E-01,7.44E-01
3.54E-01,7.48E-01
3.64E-01,7.52E-01
3.74E-01,7.56E-01
3.84E-01,7.60E-01
3.94E-01,7.64E-01
4.04E-01,7.69E-01
4.14E-01,7.73E-01
4.24E-01,7.77E-01
4.34E-01,7.81E-01
4.44E-01,7.85E-01
4.55E-01,7.89E-01
4.65E-01,7.93E-01
4.75E-01,7.97E-01
4.85E-01,8.01E-01
4.95E-01,8.05E-01
5.05E-01,8.09E-01
5.15E-01,8.13E-01
5.25E-01,8.17E-01
5.35E-01,8.21E-01
5.45E-01,8.25E-01
5.56E-01,8.29E-01
5.66E-01,8.33E-01
5.76E-01,8.37E-01
5.86E-01,8.41E-01
5.96E-01,8.45E-01
6.06E-01,8.49E-01
6.16E-01,8.53E-01
6.26E-01,8.58E-01
6.36E-01,8.62E-01
6.46E-01,8.66E-01
6.57E-01,8.70E-01
6.67E-01,8.74E-01
6.77E-01,8.78E-01
6.87E-01,8.82E-01
6.97E-01,8.86E-01
7.07E-01,8.90E-01
7.17E-01,8.94E-01
7.27E-01,8.98E-01
7.37E-01,9.02E-01
7.47E-01,9.06E-01
7.58E-01,9.10E-01
7.68E-01,9.14E-01
7.78E-01,9.18E-01
7.88E-01,9.22E-01
7.98E-01,9.26E-01
8.08E-01,9.30E-01
8.18E-01,9.34E-01
8.28E-01,9.38E-01
8.38E-01,9.42E-01
8.48E-01,9.47E-01
8.59E-01,9.51E-01
8.69E-01,9.55E-01
8.79E-01,9.59E-01
8.89E-01,9.63E-01
8.99E-01,9.67E-01
9.09E-01,9.71E-01
9.19E-01,9.75E-01
9.29E-01,9.79E-01
9.39E-01,9.83E-01
9.49E-01,9.87E-01
9.60E-01,9.91E-01
9.70E-01,9.95E-01
9.80E-01,9.99E-01
9.90E-01,1.00E+00
1.00E+00,1.00E+00
